Investigator,Story / pass & fail conditions,Reward,Consequence
Akachi Onyele,"Guardian of the Veil
PASS: When you close a Gate during an Other World Encounter, place that Gate here; then pass if 3 Gates are here.
FAIL: Doom advances to 6 or lower.","The Earth Speaks
When you gain this card, improve Lore and Will.
When you close a Gate during an Other World Encounter, spawn 2 Clues.","The Earth's Anger
When you gain this card, spawn 1 Gate.
After resolving an Other World Encounter, if you did not discard that Gate, discard the nearest Clue on the game board."
Charlie Kane,"Citizen Kane
PASS: A Mystery is solved.
FAIL: Doom advances to 6 or lower.","Kane for Office
When you gain this card, improve Influence and Will.
Once per round, when Doom advances, you may spend 2 Clues to retreat Doom by 1.","Dark Times
When you perform an Acquire Assets Action, increase the value of each card in the reserve by 1."
Diana Stanley,"Bound by the Past
PASS: When you discard a Monster as part of your action ability, you may place it here; then pass if Monsters here total toughness 8+.
FAIL: At Encounter Phase end, 3+ Cultist Monsters are on the game board.","Redeemed
When you gain this card, retreat Doom by 1.
Once per round, during the Action Phase, gain 1 Focus.","One of Us
When you gain this card, advance Doom by 1.
Roll 1 fewer die when resolving a test during a Combat Encounter or an Other World Encounter."
Jacqueline Fine,"Arbiter of Fate
PASS: After gaining a Clue from your passive ability, you may spend 5 Clues to pass.
FAIL: Doom advances to 6 or lower; shuffle the Mythos deck.","Oracle
Once per round, when Doom advances, gain 1 Clue.
You may spend 3 Clues to negate the text effect of an Event Mythos card.","Dark Future
Your maximum Sanity is reduced by 2.
After you gain a Clue using your passive ability, lose 1 Sanity."
Jim Culver,"Dead Rising
PASS: When any non-Epic Monster is defeated or discarded, place that Monster here; then pass if 6+ Monsters are here.
FAIL: You have only 1 Health or 1 Sanity.","Sweet Harmony
When a Monster is defeated or discarded, you or another investigator may gain 1 Focus or recover 1 Sanity.
You may reroll 1 die when resolving a test.","Out of Tune
Your maximum Health and Sanity are reduced by 1.
Roll 1 fewer die when resolving a Will test during a Combat Encounter."
Leo Anderson,"The Expedition
PASS: You have 5+ Ally Assets.
FAIL: Another investigator is defeated or devoured.","Full Party
When you gain this card, gain 1 Character Unique Asset.
You cannot discard your Ally Assets unless you choose to.","All Your Fault
Roll 1 fewer die when resolving an Influence or Will test.
Your maximum Health and Sanity are reduced by 1."
Lily Chen,"All That Stands
PASS: You have improved each of your skills.
FAIL: Doom advances to 6 or lower.","The Chosen One
After you perform your action ability, recover 1 Health and 1 Sanity.
Roll 2 additional dice when resolving tests while encountering Epic Monsters.","Doomed to Failure
When you gain this card, discard 1 Improvement token for each skill.
You cannot improve a skill a second time unless you spend 1 Health or 1 Sanity."
Lola Hayes,"In the Limelight
PASS: The first time you pass a test for each skill, place a matching Improvement token here; then pass if a token for every skill is here.
FAIL: You have only 1 Health or 1 Sanity.","Method Acting
When you gain this card, improve 2 skills of your choice.
After you perform your action ability, you may perform 1 additional action.","Denouement
Whenever you fail a test, discard 1 Improvement token. If you cannot, lose all of your Sanity. This loss of Sanity cannot be prevented."
Mark Harrigan,"Shadowed Heart
PASS: When you defeat a non-Epic Monster during a Combat Encounter, place that Monster here; then pass if Monsters here total toughness 10+.
FAIL: Another investigator is defeated or devoured.","A Reason to Live
Your maximum Sanity is increased by 2.
When you gain this card, recover 2 Sanity.
When a Monster loses Health from your Action ability, it loses 2 additional Health.","Total Abandon
Increase the damage and horror of Monsters you encounter by 1.
After resolving a Combat Encounter, you and that Monster each lose 1 Health."
Norman Withers,"Written in the Stars
PASS: A Mystery is solved.
FAIL: When the Omen advances to a blue space of its track, place 1 Eldritch token here; then fail if 5 Eldritch tokens are here.","As Foretold
When you gain this card, move the Omen to any space of the track without advancing Doom.
Once per round, you may spend 1 fewer Clue to pay for an effect.","Discredited
When you gain this card, spawn 1 Gate.
Your maximum Sanity is reduced by 2."
