Services,,,,
Category,Name,Expansion,Main Effect,
Service,Agency Quarantine,Core,"When you gain this card, immediately choose a space. Each Monster on the chosen space loses 4 Health. Then discard this card.",
Service,Agency Stakeout,Cities in Ruin,"When you gain this card, immediately gain 1 Clue and 1 Monster of your choice on any space loses 3 Health. Then discard this card.",
Service,Appeal to the Council,Forsaken Lore,"When you gain this card, you may immediately spend 2 Clues to retreat Doom by 1. Then discard this card.",
Service,Assassination,Signs of Carcosa,"When you gain this card, immediately choose a Monster on any space. The chosen Monster loses 2 Health. Then discard this card.",
Service,Charter Flight,Core,"When you gain this card, immediately move up to 2 spaces. Then discard this card.",
Service,Consecration,Strange Remnants,"When you gain this card, immediately gain 1 Boon Condition. Then discard this card.",
Service,Courier Needed!,Mountains of Madness,"When you gain this card, immediately gain a Courier Run Unique Asset. Then discard this card.",
Service,Curiosity Shoppe,Under the Pyramids,"When you gain this card, immediately gain 1 Artifact. Then discard this card.",
Service,Delivery Service,Core,"When you gain this card, immediately give any number of Item possessions to another investigator on any space. Then discard this card.",
Service,Divination,The Dreamlands,"When you gain this card, look at the top 3 Gates in the Gate stack. Put any number of them on the bottom of the Gate stack and the rest on top in any order. Then discard this card.",
Service,Intelligence Report,Forsaken Lore,"When you gain this card, immediately gain 2 Clues. Then discard this card.",
Service,Lavish Feast,Strange Remnants,"When you gain this card, immediately recover 2 Health and 2 Sanity. Then discard this card.",
Service,Magick Shoppe,Under the Pyramids,"When you gain this card, immediately gain 2 Spells. Then discard 1 Spell and this card.",
Service,Mission Briefing,Cities in Ruin,"When you gain this card, immediately gain 2 Task Unique Assets. Then discard 1 Task Asset and this card.",
Service,News Report,Cities in Ruin,"When you gain this card, immediately spawn 3 Clues. Then discard this card.",
Service,Night Classes,The Dreamlands,"When you gain this card, immediately gain 2 Talent Conditions. Then discard 1 Talent Condition and this card.",
Service,Police Assistance,Forsaken Lore,"When you gain this card, immediately discard 1 Monster of your choice on any space with toughness 2 or less. Then discard this card.",
Service,Police Raid,The Dreamlands,"When you gain this card, immediately choose a Monster on any space. The chosen Monster loses 3 Health. Then discard this card.",
Service,Private Care,Core,"When you gain this card, immediately recover all  Health and  Sanity. Then Discard this Card",
Service,Private Flight,Cities in Ruin,"When you gain this card, immediately move to any space. Then discard this card.",
Service,Rumor Mill,Signs of Carcosa,"When you gain this card, immediately gain  1 Clue. Then Discard this card",
Service,Sanctuary,Core,"When you gain this card, you may immediately discard 1 Condition.",
Service,Search the Archives,Mountains of Madness,"When you gain this card, immediately gain 1 random Tome Asset from the deck. Then discard this card",
Service,Silver Twilight Host,Cities in Ruin,"en you gain this card, immediately recover Health 3 Health, Sanity 3 Sanity, and gain 1 Boon Condition. Then discard this card.",
Service,Silver Twilight Ritual,Core,"When you gain this card, immediately retreat Doom Doom by 1. Then discard this card.",
Service,Three-card Monte,Signs of Carcosa,"When you gain this card, immediately roll 1 die. On a 5 or 6, gain 1 Asset of your choice from the reserve, or 1 random Asset with value 3 or greater from the deck. Then discard this card.",
Service,Training Regimen,Cities in Ruin,"When you gain this card, immediately improve 1 skill of your choice and gain 1 Talent Condition. Then discard this card.",
Service,Ward Evil,Under the Pyramids,"When you gain this card, immediately discard 1 Monster of your choice on any space with toughness 3 or less. Then discard this card.",
Service,Wireless Report,Core,"When you gain this card, immediately give any number of Clue tokens to another investigator on any space. Then discard this card.",
,,,,
,,,,
Allies,,,,
Category,Name,Expansion,Main Effect,
Ally,Agent of Secrets,Strange Remnants,Gain +1 lore and +1 observation . You may reroll 1 die when resolving an lore or observationtest.,
Ally,Arcane Assistant,Signs of Carcosa,Roll 1 additional die when resolving a lore test as part of a Spell effect.,
Ally,Arcane Scholar,Core,Gain +1 lore. You may reroll 1 die when resolving a lore test.,
Ally,Arcanist,The Dreamlands,"When you gain this card from the deck or reserve, gain 2 Spells. Then discard 1 Spell. Roll 1 additional die when resolving a lore test as part of a Spell effect.",
Ally,Astute Researcher,Masks of Nyarlathotep,"When you gain this card from the deck or reserve, gain 2 Task Unique Assets. Then discard 1 Task Unique Asset. Whenever you discard a Task Unique Asset, gain 1 Clue.",
Ally,Bodyguard,Forsaken Lore,Gain +1 strength. Reduce the damage of Monsters you encounter by 1 (to a minimum of 1).,
Ally,Cat Burglar,Core,"Action: Roll 1 die. On a 5 or 6, gain 1 Item or Trinket Asset from the reserve. On a 1, discard this card.",
Ally,Chief Inspector,Signs of Carcosa,Gain +1 observation. Gain +2 observation during Research Encounters.,
